State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
CA,1991,4107,331662,1.2231623526889022,-0.29455031526734254
CA,1992,4316,374069,1.1406371817064629,-0.42604205903711057
CA,1993,3225,636926,0.5037873876632232,-0.9420918377664692
CA,1994,5607,927256,0.6010528877230633,-1.3361381170965414
CA,1995,4664,1044861,0.4443915104452014,-1.122874308919199
CA,1996,11039,1198690,0.9125184235477533,-1.1932053371202858
CA,1997,14375,1118103,1.2693403315561098,-2.0368271334469754
CA,1998,14883,1354936,1.0864939090492978,-1.7569851956719764
CA,1999,18385,1646130,1.1045259429924033,-1.842924064997672
CA,2000,25233,1607113,1.545811978587873,-2.0691005169084002
CA,2001,36037,1591393,2.2143502331897533,-2.190645722223125
CA,2002,76225,1710642,4.265846310889395,-2.7786696973958476
CA,2003,135654,1925777,6.580574367999705,-1.7385354319419948
CA,2004,181554,1980015,8.399176709140443,-0.6235578961038648
CA,2005,248365,2270506,9.86017148158838,-1.7132388867021113
CA,2006,160839,1321964,10.846956743410958,-2.747491156928545
CA,2007,209529,1321707,13.683651638284367,-5.178046984976582
CA,2008,279480,1398833,16.652436106971702,-2.5973474990494942
CA,2009,380998,2026581,15.824942815998977,-1.6599622074911764
CA,2010,683669,3579359,16.03716888559024,-2.6219122349483683
CA,2011,848744,4342459,16.34965922157157,-4.116326337643059
CA,2012,868566,4226984,17.04557898558546,-3.909554379294409
CA,2013,932114,5182279,15.244587647539177,-4.9191867490434475
CA,2014,1308880,7971511,14.103716104202938,-3.8434660051943546
CA,2015,1680575,10465927,13.835876370003481,-3.098130941835125
CA,2016,1606306,11550116,12.20929216165307,-3.8413404529887405
CA,2017,271641,2019939,11.85387374649805,-3.0466117762905096
