State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean,Yearly.Mean
MA,1991,914,71097,1.2692505311688493,-0.24846213678739537,1.5177126679562447
MA,1992,1795,85079,2.0662108340815433,0.4995315933379698,1.5666792407435735
MA,1993,3227,101799,3.072572505855693,1.6266932804260006,1.4458792254296924
MA,1994,4901,128970,3.6609870696416698,1.7237960648220652,1.9371910048196046
MA,1995,2045,140991,1.4297100030761487,-0.13755581628825175,1.5672658193644005
MA,1996,3115,203669,1.5064028164654906,-0.5993209442025484,2.105723760668039
MA,1997,4806,258009,1.8286627475600707,-1.4775047174430145,3.3061674650030852
MA,1998,5386,363060,1.4618152999354044,-1.3816638047858698,2.843479104721274
MA,1999,9106,467351,1.9111903067852924,-1.0362597012047827,2.947450007990075
MA,2000,13194,521422,2.4679396052493754,-1.1469728902468979,3.6149124954962732
MA,2001,18303,562219,3.1528520882929505,-1.2521438671199276,4.404995955412878
MA,2002,46235,630126,6.83584653757387,-0.20866947071137254,7.0445160082852425
MA,2003,76312,544664,12.289041766509495,3.9699319665677955,8.3191097999417
MA,2004,92249,503908,15.473943944296554,6.451209339052246,9.022734605244308
MA,2005,126091,484168,20.6618829054549,9.088472537164408,11.57341036829049
MA,2006,67015,295482,18.48704954799626,4.8926016476567575,13.594447900339503
MA,2007,71571,301237,19.19781764339821,0.3361190201372608,18.86169862326095
MA,2008,101023,315702,24.242126102345672,4.992342496324476,19.249783606021197
MA,2009,111839,462054,19.487779080769414,2.0028740572792607,17.484905023490153
MA,2010,211151,828955,20.300911637852295,1.6418305173136858,18.65908112053861
MA,2011,277746,882108,23.946634662638573,3.480649103423943,20.46598555921463
MA,2012,305659,876295,25.86048188000548,4.90534851512561,20.95513336487987
MA,2013,329552,945222,25.851798044202347,5.688023647619723,20.163774396582625
MA,2014,336490,1197358,21.937636584589868,3.990454475192575,17.947182109397293
MA,2015,307612,1160152,20.957865160884175,4.023857849045569,16.934007311838606
MA,2016,285180,1143894,19.955579627087193,3.9049470124453833,16.05063261464181
MA,2017,61856,277601,18.22204285078817,3.321557327999612,14.900485522788559
