State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
OR,1991,556,18623,2.8990041190885862,1.3812914511323415
OR,1992,792,35081,2.207788587517074,0.6411093467735005
OR,1993,1630,50277,3.140231567996609,1.6943523425669165
OR,1994,1923,44520,4.1405593953878945,2.20336839056829
OR,1995,1528,32685,4.466138602285681,2.8988727829212806
OR,1996,1279,22205,5.446261284278657,3.3405375236106183
OR,1997,1526,19146,7.381965944272446,4.075798479269361
OR,1998,2038,29695,6.422336369079506,3.578857264358232
OR,1999,3566,44624,7.399875492840838,4.452425484850763
OR,2000,6998,70743,9.001685082517591,5.3867725870213174
OR,2001,14092,137059,9.323127203921906,4.918131248509028
OR,2002,25906,181655,12.48115011972384,5.436634111438597
OR,2003,33060,140258,19.07476430607323,10.755654506131531
OR,2004,37300,99401,27.285828194380436,18.263093589136126
OR,2005,42926,90187,32.24778947210265,20.674379103812164
OR,2006,21755,52589,29.262617023566122,15.668169123226619
OR,2007,24062,51445,31.867244096573828,13.005545473312878
OR,2008,25228,51604,32.83527696793003,13.585493361908831
OR,2009,31601,76767,29.16082238299129,11.675917359501138
OR,2010,110611,273632,28.786731313257498,10.127650192718889
OR,2011,215261,517786,29.36523851813049,8.89925295891586
OR,2012,187768,470500,28.5245523100014,7.56941894512153
OR,2013,228529,624592,26.78740764791864,6.623633251336017
OR,2014,360367,1026857,25.977563825308675,8.030381715911382
OR,2015,421605,1205281,25.91484590807223,8.980838596233625
OR,2016,366789,1163790,23.964068499567812,7.9134358849260025
OR,2017,82916,278569,22.937604603233883,8.037119080445324
