State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
PA,1991,1020,125757,0.8045623417496865,-0.7131503262065582
PA,1992,2346,137746,1.6746138252005822,0.10793458445700876
PA,1993,2436,144910,1.6532515304114128,0.20737230498172043
PA,1994,4409,164511,2.61011129528771,0.6729202904681055
PA,1995,4498,201953,2.1787252180904915,0.611459398726091
PA,1996,6206,227904,2.650890606979625,0.5451668463115862
PA,1997,10499,198227,5.030039381773234,1.7238719167701486
PA,1998,8929,214749,3.991899069197686,1.1484199644764117
PA,1999,10648,259256,3.9451064082043983,0.9976564002143231
PA,2000,8237,176458,4.459785051030077,0.8448725555338039
PA,2001,14224,272128,4.9673129574789074,0.5623170020660293
PA,2002,21609,287497,6.990805743013724,-0.05371026527151823
PA,2003,39175,329780,10.617826022143621,2.2987162222019215
PA,2004,49922,374518,11.761850909433607,2.7391163041892987
PA,2005,95576,399242,19.315384646476076,7.741974278185586
PA,2006,67981,260134,20.718650473157275,7.124202572817772
PA,2007,57411,245974,18.923480066582066,0.06178144332111657
PA,2008,72555,265779,21.444785330472254,2.195001724451057
PA,2009,91852,353026,20.646559281420974,3.1616542579308202
PA,2010,244966,1081369,18.46939121715102,-0.1896899033875883
PA,2011,521168,2012378,20.570694196987148,0.10470863777251793
PA,2012,527528,1900771,21.724178118098305,0.7690447532184344
PA,2013,600273,2007449,23.019056479179913,2.855282082597288
PA,2014,662214,2254690,22.702632654348584,4.755450544951291
PA,2015,830204,2943220,22.001344137314018,5.067336825475412
PA,2016,893621,3374572,20.93675239146871,4.886119776826899
PA,2017,202105,833734,19.511236784867148,4.610751262078589
