State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
WA,1991,1617,40911,3.8022009029345374,2.2844882349782925
WA,1992,1726,45471,3.6570120982265824,2.090332857483009
WA,1993,3007,87543,3.320817228050801,1.8749380026211084
WA,1994,3459,96753,3.451682433241528,1.5144914284219233
WA,1995,3274,67254,4.642127949183303,3.0748621298189027
WA,1996,7266,97636,6.926464700387028,4.820740939718989
WA,1997,8077,104613,7.16745052799716,3.861283062994075
WA,1998,10077,142015,6.625595034584331,3.7821159298630564
WA,1999,13244,180954,6.819843664713334,3.8723936567232586
WA,2000,18643,220143,7.807409144589716,4.192496649093442
WA,2001,28859,267881,9.725348790186695,5.320352834773817
WA,2002,48437,348466,12.2037374371068,5.159221428821558
WA,2003,76012,1374988,5.238594073053067,-3.080515726888633
WA,2004,120995,417477,22.470063438767475,13.447328833523168
WA,2005,143572,430985,24.98829533014131,13.414884961850818
WA,2006,18789944,126234001,12.956442468862642,-0.6380054314768611
WA,2007,119738,264036,31.200133411851766,12.338434788590817
WA,2008,139552,297694,31.916129592952252,12.666345986931056
WA,2009,141431,342553,29.2222470164303,11.737341992940145
WA,2010,185174,467411,28.37546066795896,9.716379547420352
WA,2011,309955,927821,25.04128372177195,4.575298162557321
WA,2012,216960,567915,27.642618251313905,6.687484886434035
WA,2013,252960,742533,25.410525237244258,5.246750840661633
WA,2014,393480,1409353,21.82564885377625,3.878466744378958
WA,2015,428203,1740810,19.74183649429487,2.8078291824562633
WA,2016,433274,1763906,19.719549604493032,3.6689169898512226
WA,2017,99550,441850,18.387513852973772,3.487028330185213
