State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
WV,1991,407,29646,1.3542741157288791,-0.16343855222736559
WV,1992,493,42293,1.1522460617959145,-0.41443317894765896
WV,1993,698,51168,1.3457756526433502,-0.10010357278634219
WV,1994,1033,48326,2.092830081646711,0.15563907682710632
WV,1995,1097,57136,1.883811584496763,0.31654576513236243
WV,1996,1705,66368,2.504664110587164,0.39894034991912486
WV,1997,1978,71623,2.687463485550468,-0.6187039794526172
WV,1998,1778,103941,1.6818168919494132,-1.161662212771861
WV,1999,1819,91777,1.9434591221847086,-1.0039908858053666
WV,2000,3252,126528,2.5057790106333795,-1.1091334848628938
WV,2001,4726,142394,3.212343665035345,-1.192652290377533
WV,2002,7453,173752,4.113021163875169,-2.9314948444100732
WV,2003,15295,212066,6.727187160506859,-1.5919226394348405
WV,2004,21805,222576,8.922543078226212,-0.10019152701809553
WV,2005,33076,250041,11.68280251627419,0.10939214798369967
WV,2006,30570,210660,12.672553165029225,-0.9218947353102784
WV,2007,35912,216784,14.211542723272233,-4.650155899988716
WV,2008,58483,227935,20.418758597574175,1.1689749915529788
WV,2009,75200,295698,20.275116069647183,2.7902110461570295
WV,2010,95038,357149,21.017410938394956,2.3583298178563474
WV,2011,117042,391471,23.01652071825106,2.5505351590364285
WV,2012,136001,399098,25.416044507651854,4.460911142771984
WV,2013,141836,456771,23.694343701293167,3.530569304710543
WV,2014,230229,935693,19.74651820619218,1.7993360967948888
WV,2015,221313,1014175,17.913002797275247,0.9789954854366414
WV,2016,204363,1012600,16.792868805378635,0.7422361907368256
WV,2017,46522,247177,15.840026693996235,0.9395411712076758
