State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean,Yearly.Mean
WY,1991,127,2191,5.47886108714409,3.961148419187846,1.5177126679562447
WY,1992,29,1630,1.7480409885473176,0.18136174780374414,1.5666792407435735
WY,1993,32,2490,1.26883425852498,-0.17704496690471228,1.4458792254296924
WY,1994,77,2375,3.1402936378466557,1.2031026330270511,1.9371910048196046
WY,1995,39,2722,1.4125316914161534,-0.15473412794824704,1.5672658193644005
WY,1996,76,3911,1.9061951341861048,-0.19952862648193426,2.105723760668039
WY,1997,177,4478,3.802363050483351,0.49619558548026577,3.3061674650030852
WY,1998,242,6486,3.596908442330559,0.7534293376092847,2.843479104721274
WY,1999,366,8407,4.171891029294426,1.2244410213043508,2.947450007990075
WY,2000,575,9971,5.4523041911625265,1.8373916956662533,3.6149124954962732
WY,2001,578,12045,4.578943198922602,0.17394724350972357,4.404995955412878
WY,2002,1791,17306,9.378436403623606,2.333920395338364,7.0445160082852425
WY,2003,2784,21128,11.642689862830379,3.323580062888679,8.3191097999417
WY,2004,2892,22011,11.613058667630407,2.590324062386099,9.022734605244308
WY,2005,4844,22852,17.48989023685731,5.916479868566819,11.57341036829049
WY,2006,3231,15497,17.25224263135412,3.6577947310146186,13.594447900339503
WY,2007,2686,11504,18.928823114869626,0.06712449160867706,18.86169862326095
WY,2008,1739,6224,21.838503076729875,2.5887194707086785,19.249783606021197
WY,2009,6035,24401,19.828492574582732,2.343587551092579,17.484905023490153
WY,2010,7868,28785,21.466182849971354,2.8071017294327447,18.65908112053861
WY,2011,11195,31136,26.446339562023102,5.980354002808472,20.46598555921463
WY,2012,14834,32807,31.137045821876114,10.181912456996244,20.95513336487987
WY,2013,16074,34599,31.72103487064117,11.557260474058545,20.163774396582625
WY,2014,16599,43061,27.822661749916193,9.8754796405189,17.947182109397293
WY,2015,17171,44678,27.76277708612912,10.828769774290514,16.934007311838606
WY,2016,16339,44217,26.981636832023252,10.931004217381442,16.05063261464181
WY,2017,2488,10488,19.173859432799016,4.2733739100104575,14.900485522788559
